accuracy,loss,val_accuracy,val_loss,learning_rate
0.2471984624862671,2.036245107650757,0.2493024617433548,1.806465983390808,0.0010000000474974513
0.234375,1.7984862327575684,0.0,2.037036657333374,0.0010000000474974513
0.25452959537506104,1.8039880990982056,0.2474888414144516,1.7965244054794312,0.0010000000474974513
0.203125,1.899349331855774,0.0,2.0071475505828857,0.0010000000474974513
0.25550708174705505,1.7895948886871338,0.2837611734867096,1.733646273612976,0.0010000000474974513
0.21875,1.8167747259140015,0.30000001192092896,1.6172170639038086,0.0010000000474974513
0.2756851017475128,1.7588852643966675,0.3217075765132904,1.6674031019210815,0.0010000000474974513
0.296875,1.8187105655670166,0.699999988079071,0.9950883984565735,0.0010000000474974513
0.30361318588256836,1.7068434953689575,0.3272879421710968,1.6876935958862305,0.0010000000474974513
0.234375,1.7639693021774292,0.8999999761581421,0.7311826348304749,0.0010000000474974513
